Latitude,Longitude,LocalDate,LimitingMag,SQMReading,CloudCover,Country
-26.7603,152.81,2018-11-11,6,21.52,0,Australia
-26.5867,152.737,2018-12-01,6,21.84,0,Australia
-26.6236,152.688,2018-12-01,6,21.88,0,Australia
-26.7332,152.729,2018-12-01,6,21.8,0,Australia
-26.7599,152.81,2018-12-01,6,21.72,0,Australia
-26.7586,152.865,2018-12-01,6,21.35,0,Australia
-26.7591,152.866,2018-11-11,6,21.36,0,Australia
-41.1144,146.84,2018-09-16,3,,0,Australia
-26.613,152.676,2018-09-01,6,21.9,0,Australia
-22.4818,143.172,2018-07-20,7,22.17,0,Australia
-30.5043,151.667,2018-05-11,7,22.17,0,Australia
-35.2044,149.081,2018-04-09,2,,0,Australia
-32.902,151.703,2018-04-06,4,,0,Australia
-30.5043,151.667,2018-03-12,7,22.38,0,Australia
-30.5043,151.668,2018-03-11,7,22.28,0,Australia
-30.5041,151.667,2018-01-07,7,22.32,0,Australia
-26.0767,127.722,2019-08-27,4,,0,Australia
-26.7503,152.241,2019-08-03,7,22.02,0,Australia
-26.7503,152.241,2019-07-30,6,21.86,0,Australia
-26.7503,152.241,2019-07-29,6,21.84,0,Australia
-26.7503,152.241,2019-07-29,7,22.04,0,Australia
-26.7503,152.241,2019-07-28,6,21.84,0,Australia
-26.7503,152.241,2019-07-27,6,21.94,0,Australia
-26.7503,152.241,2019-07-27,6,21.75,0,Australia
-26.7502,152.241,2019-07-26,6,21.82,0,Australia
-37.9725,145.496,2019-07-06,4,,0,Australia
-33.6701,150.861,2019-05-29,4,,0,Australia
-24.1129,152.714,2019-05-23,6,21.79,0,Australia
-33.7045,150.977,2019-05-25,1,,0,Australia
-26.7608,152.811,2019-05-07,6,21.28,0,Australia
-38.1514,144.34,2019-04-29,4,,0,Australia
-30.5041,151.667,2019-04-05,6,21.15,0,Australia
-37.9099,145.047,2019-04-04,4,,0,Australia
-30.5042,151.667,2019-02-28,6,21.14,0,Australia
-26.8845,151.597,2019-02-09,6,21.83,0,Australia
-30.5043,151.667,2019-02-05,6,21.8,0,Australia
-30.5042,151.667,2019-02-04,6,21.9,0,Australia
-30.5046,151.668,2019-02-02,6,21.84,0,Australia
-34.9133,138.842,2019-01-29,6,21.22,0,Australia
-26.7585,152.865,2019-01-12,6,21.36,0,Australia
-30.3091,139.338,2019-01-09,7,22.05,0,Australia
-37.7847,145.032,2020-12-25,3,,0,Australia
-37.7847,145.032,2020-12-25,3,,0,Australia
-33.842,116.983,2020-12-06,7,22.07,0,Australia
-32.0841,115.861,2020-09-24,4,18.99,0,Australia
-38.1553,144.311,2020-11-19,3,,0,Australia
-26.6362,153.043,2020-11-15,5,20.22,0,Australia
-26.6131,153.002,2020-11-15,6,20.7,0,Australia
-26.6201,152.88,2020-11-15,6,21.38,0,Australia
-26.6241,152.866,2020-11-15,4,18.82,0,Australia
-26.6487,152.813,2020-11-15,6,21.62,0,Australia
-26.6486,152.813,2020-11-15,6,21.64,0,Australia
-26.6308,152.767,2020-11-15,6,21.58,0,Australia
-26.587,152.738,2020-11-15,6,21.68,0,Australia
-26.5968,152.728,2020-11-15,6,21.29,0,Australia
-26.6032,152.725,2020-11-15,6,21.57,0,Australia
-26.623,152.69,2020-11-15,6,21.62,0,Australia
-26.6403,152.686,2020-11-15,6,21.62,0,Australia
-26.6782,152.681,2020-11-15,6,21.59,0,Australia
-26.7125,152.701,2020-11-15,6,21.68,0,Australia
