year,month,max_kp,month_name
2018,5,5.667,May
2018,6,5.0,Jun
2018,7,4.667,Jul
2018,8,7.333,Aug
2018,9,6.0,Sep
2018,10,5.333,Oct
2018,11,5.667,Nov
2018,12,4.333,Dec
2019,1,5.333,Jan
2019,2,4.667,Feb
2019,3,4.667,Mar
2019,4,4.0,Apr
2019,5,6.333,May
2019,6,5.333,Jun
2019,7,5.0,Jul
2019,8,5.667,Aug
2019,9,5.333,Sep
2019,10,5.333,Oct
2019,11,4.0,Nov
2019,12,4.0,Dec
2020,1,3.667,Jan
2020,2,4.0,Feb
2020,3,4.333,Mar
2020,4,4.667,Apr
2020,5,3.333,May
2020,6,3.667,Jun
2020,7,4.0,Jul
2020,8,4.667,Aug
2020,9,5.667,Sep
2020,10,4.667,Oct
2020,11,4.667,Nov
2020,12,4.333,Dec
2021,1,4.667,Jan
2021,2,4.667,Feb
2021,3,5.667,Mar
2021,4,5.0,Apr
2021,5,7.0,May
2021,6,5.0,Jun
2021,7,4.333,Jul
2021,8,5.0,Aug
2021,9,5.333,Sep
2021,10,6.333,Oct
2021,11,7.667,Nov
2021,12,5.0,Dec
2022,1,5.667,Jan
2022,2,5.333,Feb
2022,3,6.333,Mar
2022,4,6.667,Apr
2022,5,5.0,May
2022,6,4.667,Jun
2022,7,5.333,Jul
2022,8,6.667,Aug
2022,9,6.333,Sep
2022,10,5.667,Oct
2022,11,5.333,Nov
2022,12,5.667,Dec
2023,1,5.0,Jan
2023,2,6.667,Feb
2023,3,8.0,Mar
2023,4,8.333,Apr
2023,5,6.0,May
2023,6,6.0,Jun
2023,7,4.667,Jul
2023,8,6.333,Aug
2023,9,6.333,Sep
2023,10,5.0,Oct
2023,11,7.333,Nov
2023,12,6.667,Dec
2024,1,4.0,Jan
2024,2,4.333,Feb
2024,3,8.333,Mar
2024,4,7.0,Apr
2024,5,9.0,May
2024,6,7.667,Jun
2024,7,5.333,Jul
2024,8,8.0,Aug
2024,9,7.333,Sep
2024,10,8.667,Oct
2024,11,5.667,Nov
2024,12,5.333,Dec
2025,1,8.0,Jan
2025,2,5.667,Feb
2025,3,5.667,Mar
2025,4,7.667,Apr
2025,5,6.333,May
2025,6,7.667,Jun
2025,7,5.0,Jul
2025,8,5.667,Aug
2025,9,7.0,Sep
2025,10,6.667,Oct
2025,11,8.667,Nov
2025,12,6.667,Dec
