datetime,year,lat,lon,altitude_km,velocity_kms,radiated_energy_J,impact_energy_kt
2/19/2023 6:15,2023,7.9,109.9,37.0,23.0,136000000000.0,0.4
2/14/2023 22:55,2023,-48.0,-53.3,32.3,15.6,184000000000.0,0.52
2/2/2023 20:49,2023,-26.2,-143.1,33.0,,30000000000.0,0.1
1/22/2023 17:11,2023,3.5,-76.2,61.0,,19800000000.0,0.072
1/17/2023 6:57,2023,33.1,-173.7,38.0,14.2,29200000000.0,0.1
1/11/2023 23:59,2023,31.5,18.6,33.5,17.5,39400000000.0,0.13
1/9/2023 1:17,2023,-45.7,135.0,27.0,16.7,71400000000.0,0.22
1/2/2023 16:38,2023,1.5,129.0,44.6,,45800000000.0,0.15
12/29/2022 6:52,2022,42.3,92.9,32.3,16.4,57700000000.0,0.19
12/13/2022 17:26,2022,32.8,-2.1,20.0,18.7,62800000000.0,0.2
11/20/2022 15:35,2022,-17.0,-95.7,50.0,,54700000000.0,0.18
11/20/2022 13:53,2022,15.0,-109.7,26.0,21.7,33700000000.0,0.12
11/8/2022 8:54,2022,77.2,-93.2,41.0,,61700000000.0,0.2
10/28/2022 17:40,2022,7.1,-118.9,45.0,,52600000000.0,0.17
10/20/2022 20:55,2022,26.6,165.1,65.6,,49200000000.0,0.16
9/15/2022 2:49,2022,22.7,97.6,31.5,,27400000000.0,0.096
9/14/2022 23:31,2022,40.8,63.4,35.8,17.4,26500000000.0,0.094
9/4/2022 3:54,2022,20.0,165.9,14.0,21.9,24500000000.0,0.087
8/21/2022 16:35,2022,-6.3,51.5,37.0,,27400000000.0,0.096
8/14/2022 7:39,2022,-35.0,78.4,55.5,,406000000000.0,1.0
7/28/2022 1:36,2022,-6.0,-86.9,37.5,29.9,253000000000.0,0.69
7/27/2022 4:41,2022,-44.8,-2.9,38.1,19.8,533000000000.0,1.3
7/25/2022 7:28,2022,-40.5,76.6,33.6,15.2,86800000000.0,0.27
7/22/2022 0:16,2022,-23.3,-20.5,32.7,17.4,67600000000.0,0.21
7/20/2022 10:56,2022,-43.0,-59.6,32.2,16.0,46000000000.0,0.15
7/8/2022 1:36,2022,21.3,130.1,22.0,20.2,31400000000.0,0.11
7/7/2022 1:49,2022,-41.7,175.0,35.0,,734000000000.0,1.8
6/30/2022 4:02,2022,-31.9,-12.9,56.0,,91600000000.0,0.28
6/26/2022 20:16,2022,-69.7,164.7,19.0,20.1,60900000000.0,0.2
6/14/2022 13:12,2022,4.6,-39.1,61.0,,66800000000.0,0.21
6/7/2022 22:53,2022,40.8,-127.1,41.1,24.9,28200000000.0,0.099
5/24/2022 2:38,2022,16.3,-30.4,39.8,,112000000000.0,0.33
4/21/2022 22:15,2022,-55.5,-68.9,28.4,12.7,31000000000.0,0.11
4/12/2022 21:59,2022,-8.2,57.8,23.8,20.6,30900000000.0,0.11
4/4/2022 0:30,2022,-3.2,-64.3,31.5,19.7,26000000000.0,0.092
3/30/2022 18:19,2022,-45.9,-171.4,74.0,,20600000000.0,0.075
3/28/2022 10:20,2022,-7.7,74.3,29.0,19.6,378000000000.0,0.98
3/25/2022 3:43,2022,1.9,-20.6,,,21000000000.0,0.076
3/24/2022 3:43,2022,1.9,-20.6,56.7,18.2,76000000000.0,0.24
3/11/2022 21:22,2022,70.0,-9.1,33.3,17.2,1750000000000.0,3.8
3/6/2022 15:06,2022,-4.1,-99.5,,,40600000000.0,0.14
3/3/2022 0:03,2022,-50.4,45.9,72.0,,19300000000.0,0.071
2/17/2022 12:08,2022,33.5,-38.9,41.0,,107000000000.0,0.32
2/17/2022 3:53,2022,5.4,56.4,32.4,21.5,62000000000.0,0.2
2/7/2022 20:06,2022,-28.7,11.4,26.5,13.1,3480000000000.0,7.0
2/3/2022 19:50,2022,-13.3,142.2,36.0,22.8,154000000000.0,0.44
1/30/2022 2:06,2022,50.0,-38.0,36.6,20.0,50400000000.0,0.17
1/28/2022 5:04,2022,-4.5,-73.9,37.0,,348000000000.0,0.91
1/11/2022 3:33,2022,-58.4,-160.2,40.8,22.8,1260000000000.0,2.9
1/1/2022 20:23,2022,66.1,-152.6,35.5,,143000000000.0,0.42
12/29/2021 3:15,2021,-69.7,115.0,44.0,22.0,20500000000.0,0.075
12/23/2021 21:27,2021,-4.9,-29.6,37.0,,17200000000.0,0.064
12/20/2021 23:15,2021,62.7,60.3,56.0,18.2,32000000000.0,0.11
12/10/2021 1:19,2021,-47.5,172.6,27.5,,53200000000.0,0.17
11/28/2021 18:06,2021,32.6,113.5,38.4,19.7,30000000000.0,0.1
11/17/2021 15:53,2021,-6.8,119.1,35.0,23.0,25100000000.0,0.089
11/8/2021 5:28,2021,-33.8,-7.7,36.0,,29500000000.0,0.1
10/28/2021 9:10,2021,-4.1,-138.7,35.2,,27700000000.0,0.097
10/21/2021 10:32,2021,51.5,51.4,30.0,15.9,41500000000.0,0.14
10/20/2021 8:41,2021,13.8,-140.4,28.0,,59100000000.0,0.19
10/20/2021 0:43,2021,59.0,154.3,31.4,27.5,38200000000.0,0.13
9/29/2021 10:50,2021,53.9,-148.0,28.0,21.2,174000000000.0,0.49
9/6/2021 17:55,2021,-2.1,-111.8,26.0,13.6,26100000000.0,0.092
7/30/2021 8:06,2021,-7.8,90.1,63.0,,73200000000.0,0.23
7/29/2021 13:19,2021,42.4,98.4,26.4,14.7,37000000000.0,0.13
7/7/2021 13:41,2021,,,,,53000000000.0,0.17
7/5/2021 3:46,2021,44.3,-164.2,43.4,15.7,754000000000.0,1.8
6/9/2021 5:43,2021,-17.9,-55.3,,,19900000000.0,0.073
5/16/2021 15:51,2021,-52.1,-171.2,37.0,,43400000000.0,0.14
5/6/2021 5:54,2021,-34.7,141.0,31.0,26.6,55700000000.0,0.18
5/2/2021 14:12,2021,12.3,-43.4,,,30100000000.0,0.1
4/13/2021 2:16,2021,26.8,-79.1,44.4,14.1,22900000000.0,0.082
4/2/2021 15:52,2021,71.2,106.7,40.0,14.1,183000000000.0,0.52
3/6/2021 8:43,2021,-48.6,90.4,31.1,18.1,155000000000.0,0.45
3/5/2021 13:50,2021,-81.1,141.1,32.5,23.3,39100000000.0,0.13
2/28/2021 3:47,2021,9.2,-64.1,,,21900000000.0,0.079
2/9/2021 23:27,2021,75.8,-92.8,31.0,13.1,36400000000.0,0.12
2/2/2021 10:03,2021,48.7,80.1,20.0,12.8,35000000000.0,0.12
1/31/2021 2:59,2021,5.3,115.2,39.4,15.2,278000000000.0,0.75
1/29/2021 16:12,2021,38.8,-51.3,30.0,14.3,72300000000.0,0.23
1/25/2021 3:01,2021,38.5,-47.6,19.1,,72600000000.0,0.23
1/24/2021 7:33,2021,-45.0,95.5,37.5,19.2,63600000000.0,0.2
12/29/2020 20:32,2020,14.9,-158.2,33.0,14.4,99900000000.0,0.3
12/28/2020 17:27,2020,36.8,-54.7,28.3,15.2,29000000000.0,0.1
12/22/2020 23:23,2020,31.9,96.2,35.5,13.7,6670000000000.0,12.0
11/28/2020 16:34,2020,33.3,135.1,28.1,19.6,20000000000.0,0.073
11/25/2020 12:20,2020,-30.5,-81.0,,,101000000000.0,0.31
11/7/2020 21:27,2020,59.8,16.8,22.3,16.7,85300000000.0,0.26
10/26/2020 15:07,2020,-5.9,160.4,28.5,17.6,98300000000.0,0.3
10/23/2020 20:51,2020,30.0,-71.9,48.0,,427000000000.0,1.1
10/22/2020 17:39,2020,22.0,-133.5,40.0,17.6,42900000000.0,0.14
10/21/2020 18:57,2020,12.9,-150.2,,,30100000000.0,0.1
10/21/2020 6:38,2020,-29.7,-93.9,39.0,,32900000000.0,0.11
10/19/2020 7:05,2020,48.6,93.9,40.7,,22100000000.0,0.08
10/18/2020 10:52,2020,-11.4,-135.8,36.0,16.4,40900000000.0,0.14
9/18/2020 8:05,2020,2.4,-169.7,46.0,11.7,54500000000.0,0.18
8/30/2020 16:08,2020,26.0,133.5,27.8,23.4,62400000000.0,0.2
8/2/2020 16:36,2020,-35.1,-34.2,38.0,11.1,65000000000.0,0.21
7/22/2020 2:55,2020,-20.0,-103.8,36.0,,22600000000.0,0.081
7/20/2020 21:25,2020,-51.8,-11.2,31.6,14.1,50600000000.0,0.17
7/12/2020 7:50,2020,-48.7,74.0,29.4,18.3,87500000000.0,0.27
5/27/2020 17:30,2020,40.8,41.7,29.3,14.9,60500000000.0,0.19
5/18/2020 1:11,2020,-38.7,77.2,25.0,,137000000000.0,0.4
5/12/2020 23:22,2020,15.9,174.2,,,75300000000.0,0.24
5/9/2020 9:37,2020,7.2,-44.2,52.5,,39300000000.0,0.13
5/9/2020 2:56,2020,44.8,-131.0,31.2,14.5,35300000000.0,0.12
4/28/2020 5:43,2020,20.1,-109.4,,,21000000000.0,0.076
4/18/2020 13:08,2020,12.5,-49.8,,,22700000000.0,0.082
4/14/2020 11:11,2020,-65.6,-45.6,,,20000000000.0,0.073
3/26/2020 23:27,2020,-38.3,23.5,26.5,20.7,118000000000.0,0.35
3/23/2020 16:51,2020,-24.4,-67.9,25.0,,133000000000.0,0.39
3/22/2020 6:44,2020,,,,,26300000000.0,0.093
3/4/2020 20:25,2020,-53.3,90.8,24.3,19.8,379000000000.0,0.98
2/28/2020 9:30,2020,45.7,15.1,34.5,21.5,104000000000.0,0.31
2/24/2020 22:21,2020,3.6,-96.0,,,20100000000.0,0.073
2/10/2020 23:48,2020,28.2,76.7,41.7,31.7,12400000000.0,0.048
1/27/2020 5:39,2020,30.4,1.5,32.5,19.8,63200000000.0,0.2
1/24/2020 11:13,2020,28.0,-35.8,32.0,21.2,31800000000.0,0.11
1/21/2020 20:07,2020,33.1,34.3,43.3,27.4,28600000000.0,0.1
1/17/2020 21:29,2020,19.4,-66.0,14.5,15.5,133000000000.0,0.39
1/16/2020 9:31,2020,-71.7,-116.4,27.8,12.9,51400000000.0,0.17
1/15/2020 6:31,2020,-23.7,-125.2,31.5,,200000000000.0,0.56
1/6/2020 11:03,2020,-70.4,-17.5,,,33200000000.0,0.11
12/21/2019 14:30,2019,56.5,-147.6,35.5,22.2,83700000000.0,0.26
12/11/2019 1:19,2019,47.7,161.7,37.0,17.8,25100000000.0,0.089
12/6/2019 10:19,2019,-3.3,-37.7,19.5,,40800000000.0,0.14
12/3/2019 6:46,2019,5.6,-52.2,61.5,,46600000000.0,0.15
11/28/2019 20:30,2019,35.7,-31.7,35.0,13.0,29900000000.0,0.1
11/28/2019 13:22,2019,,,,,56700000000.0,0.18
11/28/2019 11:55,2019,-22.1,25.7,22.5,24.7,24700000000.0,0.088
11/5/2019 11:24,2019,-10.4,-143.3,38.0,27.4,152000000000.0,0.44
10/22/2019 22:21,2019,12.0,-76.0,40.7,,34100000000.0,0.12
10/10/2019 16:16,2019,44.3,122.9,47.3,14.1,203000000000.0,0.57
9/28/2019 10:40,2019,-12.5,-107.2,52.0,20.4,21500000000.0,0.078
9/27/2019 13:35,2019,25.7,-28.4,,,66800000000.0,0.21
9/14/2019 12:39,2019,-38.6,-33.5,38.0,15.9,111000000000.0,0.33
9/13/2019 2:02,2019,-18.6,126.9,27.4,13.5,42700000000.0,0.14
9/12/2019 12:49,2019,54.5,9.2,42.0,18.5,146000000000.0,0.42
9/12/2019 2:34,2019,24.9,-47.8,30.6,17.2,58000000000.0,0.19
8/24/2019 12:02,2019,21.9,-130.4,39.8,13.4,40000000000.0,0.13
8/22/2019 21:47,2019,-24.4,-92.9,30.2,,20000000000.0,0.073
8/16/2019 20:36,2019,38.9,7.0,36.0,14.9,30100000000.0,0.1
7/23/2019 20:42,2019,44.6,-147.6,30.6,16.1,252000000000.0,0.69
6/30/2019 16:52,2019,21.2,-129.5,59.0,42.3,32800000000.0,0.11
6/30/2019 8:11,2019,-2.5,168.7,,,21000000000.0,0.076
6/22/2019 21:25,2019,14.9,-66.2,25.0,14.9,2940000000000.0,6.0
6/20/2019 6:07,2019,7.3,-67.6,37.0,,28000000000.0,0.098
5/26/2019 10:07,2019,56.6,-25.3,24.4,17.5,22700000000.0,0.082
5/25/2019 6:44,2019,-19.2,89.4,29.2,15.8,118000000000.0,0.35
5/22/2019 15:16,2019,10.8,-37.3,32.6,,104000000000.0,0.31
5/21/2019 13:12,2019,-38.8,137.5,31.5,11.5,654000000000.0,1.6
5/19/2019 14:47,2019,-23.6,132.8,33.3,15.2,41400000000.0,0.14
5/12/2019 22:41,2019,6.2,-57.1,,,19200000000.0,0.07
5/4/2019 15:35,2019,28.4,-88.3,26.5,,22400000000.0,0.081
4/22/2019 21:42,2019,-48.8,67.8,33.3,11.4,124000000000.0,0.37
4/14/2019 17:54,2019,18.3,-74.6,30.6,15.9,32700000000.0,0.11
4/6/2019 11:59,2019,56.5,94.9,41.5,18.1,73600000000.0,0.23
4/4/2019 22:19,2019,35.3,-93.9,,,28000000000.0,0.098
3/27/2019 12:50,2019,-41.8,-7.4,,,22100000000.0,0.08
3/19/2019 2:06,2019,-24.0,140.3,28.7,16.2,28600000000.0,0.1
3/15/2019 12:26,2019,63.7,95.7,31.5,14.4,68700000000.0,0.22
2/18/2019 10:00,2019,-15.5,25.3,26.0,20.8,1990000000000.0,4.3
2/1/2019 18:17,2019,22.5,-83.8,23.7,16.3,682000000000.0,1.7
1/29/2019 20:47,2019,,,,,26600000000.0,0.094
1/22/2019 9:18,2019,18.0,6.5,42.5,11.6,48500000000.0,0.16
12/23/2018 23:38,2018,-47.5,-174.4,31.8,16.5,89900000000.0,0.28
12/18/2018 23:48,2018,56.9,172.4,26.0,32.0,31300000000000.0,49.0
11/20/2018 17:30,2018,25.3,-6.7,27.4,17.4,422000000000.0,1.1
11/17/2018 21:48,2018,47.3,-172.9,32.5,19.1,194000000000.0,0.54
11/15/2018 8:02,2018,42.0,-57.0,,,35200000000.0,0.12
11/14/2018 4:03,2018,-37.6,83.5,37.0,,27900000000.0,0.098
10/24/2018 21:19,2018,-6.7,-148.6,33.3,,41300000000.0,0.14
10/22/2018 7:11,2018,,,,,26000000000.0,0.092
10/5/2018 0:27,2018,-39.8,-31.7,31.5,14.7,62700000000.0,0.2
9/25/2018 14:10,2018,-23.5,56.8,33.0,16.5,808000000000.0,1.9
9/25/2018 0:16,2018,-34.3,44.9,40.7,12.5,54500000000.0,0.18
9/20/2018 18:29,2018,-67.3,75.1,,11.1,40300000000.0,0.14
9/17/2018 1:08,2018,-6.8,-27.8,,,162000000000.0,0.46
9/13/2018 0:51,2018,42.5,-50.1,,,38800000000.0,0.13
8/27/2018 4:36,2018,-1.7,141.4,33.0,16.1,32800000000.0,0.11
8/21/2018 12:26,2018,-39.2,-162.9,37.0,,24900000000.0,0.088
7/27/2018 9:35,2018,-58.8,105.8,32.0,,109000000000.0,0.33
7/25/2018 21:55,2018,76.9,-69.0,43.3,24.4,544000000000.0,1.4
7/17/2018 15:17,2018,82.5,-136.7,,,187000000000.0,0.53
6/26/2018 17:51,2018,32.0,12.1,63.0,14.1,29500000000.0,0.1
6/21/2018 1:16,2018,52.8,38.1,27.2,14.4,1240000000000.0,2.8
6/2/2018 16:44,2018,-21.2,23.3,28.7,16.9,346000000000.0,0.91
5/12/2018 3:26,2018,-6.5,173.7,34.0,,171000000000.0,0.49
5/8/2018 2:27,2018,32.0,-60.7,,,73000000000.0,0.23
5/3/2018 7:23,2018,46.9,-7.5,39.0,11.5,42400000000.0,0.14
4/30/2018 13:17,2018,-45.5,-1.4,34.0,13.1,30000000000.0,0.1
4/21/2018 12:06,2018,-59.0,45.8,28.2,14.6,37100000000.0,0.13
4/19/2018 14:02,2018,7.5,3.6,30.0,20.9,34000000000.0,0.12
4/19/2018 13:39,2018,-22.2,72.6,31.5,10.9,480000000000.0,1.2
4/7/2018 3:05,2018,72.4,-78.7,31.5,,71900000000.0,0.23
2/21/2018 1:28,2018,-13.5,-37.1,31.5,13.1,75200000000.0,0.24
2/15/2018 13:38,2018,-43.8,-1.1,50.7,,26300000000.0,0.093
2/12/2018 2:15,2018,-15.9,-58.9,,,35800000000.0,0.12
2/8/2018 22:21,2018,42.9,179.7,43.5,,345000000000.0,0.91
2/1/2018 12:21,2018,-19.4,104.3,37.0,16.5,188000000000.0,0.53
1/22/2018 22:06,2018,14.0,-17.4,,,29000000000.0,0.1
1/15/2018 2:18,2018,-52.0,57.2,43.6,23.7,198000000000.0,0.55
1/6/2018 21:24,2018,55.8,52.5,26.0,21.0,24000000000.0,0.086
1/6/2018 18:24,2018,-39.5,12.8,26.0,,33000000000.0,0.11
12/31/2017 9:36,2017,-63.5,-101.3,64.5,,66000000000.0,0.21
12/29/2017 12:47,2017,14.6,-49.5,38.0,,141000000000.0,0.41
12/28/2017 17:45,2017,,,,,79500000000.0,0.25
12/15/2017 13:14,2017,60.2,170.0,20.0,31.4,4000000000000.0,7.9
11/19/2017 4:17,2017,-24.2,135.0,33.3,11.4,28000000000.0,0.098
10/26/2017 22:05,2017,-21.3,177.6,42.5,,717000000000.0,1.7
10/23/2017 15:31,2017,28.8,44.6,35.4,16.7,25100000000.0,0.089
10/15/2017 4:33,2017,-65.2,128.2,24.1,15.9,32800000000.0,0.11
10/9/2017 12:51,2017,-18.3,-64.1,,,30000000000.0,0.1
10/9/2017 0:46,2017,-18.3,-64.1,,,30000000000.0,0.1
10/4/2017 12:07,2017,28.1,99.4,37.0,14.6,115000000000.0,0.34
9/5/2017 5:11,2017,49.3,-116.9,36.0,14.7,40900000000.0,0.14
7/31/2017 22:01,2017,24.7,-118.5,,,58000000000.0,0.19
7/23/2017 6:12,2017,-6.6,-69.7,38.0,17.2,42200000000.0,0.14
7/13/2017 9:30,2017,23.1,60.7,35.0,13.7,73700000000.0,0.23
6/30/2017 14:26,2017,-34.3,134.5,20.0,15.2,99200000000.0,0.3
6/23/2017 20:21,2017,57.0,143.7,35.1,24.3,136000000000.0,0.4
6/20/2017 13:41,2017,-54.2,133.0,33.3,13.6,467000000000.0,1.2
5/24/2017 7:03,2017,-9.1,101.8,46.0,18.4,97300000000.0,0.3
5/22/2017 17:44,2017,-49.6,-157.6,33.0,,38600000000.0,0.13
5/14/2017 9:30,2017,-26.0,32.4,33.0,,36300000000.0,0.12
4/30/2017 21:28,2017,-25.7,56.2,32.4,21.5,138000000000.0,0.4
3/11/2017 4:51,2017,28.3,-60.2,28.0,,1270000000000.0,2.9
3/9/2017 4:16,2017,40.5,-18.0,23.0,36.5,413000000000.0,1.1
3/8/2017 22:21,2017,-26.1,174.9,37.0,,67900000000.0,0.22
2/25/2017 1:22,2017,29.5,13.5,25.4,12.2,91600000000.0,0.28
2/22/2017 18:47,2017,-50.7,-66.0,,,40000000000.0,0.13
2/18/2017 19:48,2017,6.2,60.4,38.0,24.2,321000000000.0,0.85
2/7/2017 17:37,2017,-27.4,-14.8,54.0,,20000000000.0,0.073
2/6/2017 6:09,2017,10.4,131.6,33.5,,70800000000.0,0.22
12/23/2016 3:29,2016,21.3,49.3,42.0,29.7,44200000000.0,0.15
12/7/2016 4:51,2016,-34.5,-126.6,,,118000000000.0,0.35
11/29/2016 8:05,2016,-30.6,-93.1,,,31700000000.0,0.11
11/24/2016 14:10,2016,-15.2,80.3,30.6,17.4,138000000000.0,0.4
11/3/2016 17:14,2016,-39.6,-16.3,37.0,,76000000000.0,0.24
10/1/2016 20:23,2016,36.2,6.7,27.8,14.2,31500000000.0,0.11
