glat,glon,lat,lon,mean_mag,n_obs,nearest_city,dist_km
-31.5,150.5,-31.4036,150.59466666666665,6.67,3,Sydney,280.2
-31.5,151.0,-31.496,151.104,6.0,2,Sydney,264.2
-31.5,152.5,-31.5638,152.693,5.25,4,Sydney,291.6
-31.5,153.0,-31.593669999999996,152.81980000000001,2.7,10,Sydney,294.5
-31.0,115.5,-30.9654,115.37266666666666,7.0,3,Perth,118.8
-31.0,116.0,-31.0478,115.838,6.0,1,Perth,100.3
-31.0,116.5,-30.954725000000003,116.64,6.0,4,Perth,133.1
-31.0,117.0,-30.92745,117.1035,5.5,2,Perth,163.8
-31.0,118.0,-30.9079,118.219,4.0,2,Perth,252.0
-31.0,121.5,-31.2085,121.635,2.0,1,Perth,553.2
-31.0,138.5,-30.81165,138.413,6.0,2,Adelaide,458.3
-31.0,143.0,-31.0204,143.04,5.0,2,Adelaide,600.3
-31.0,149.0,-30.9507,149.068,3.0,1,Sydney,381.8
-31.0,150.0,-31.00925,150.20999999999998,5.5,2,Sydney,331.6
-31.0,150.5,-30.9649,150.351,4.75,4,Sydney,332.9
-31.0,151.0,-31.0778867875,150.9632754125,3.12,8,Sydney,311.3
-31.0,153.0,-30.983500000000003,153.007,4.64,11,Sydney,362.6
-30.5,115.0,-30.3169,115.028,7.0,2,Perth,198.1
-30.5,117.0,-30.3391,117.14,5.0,1,Perth,216.6
-30.5,118.5,-30.56445,118.487,5.0,2,Perth,293.4
-30.5,121.5,-30.736220000000003,121.4614,4.6,5,Perth,548.7
-30.5,138.5,-30.5926,138.4,5.0,1,Adelaide,482.7
-30.5,139.5,-30.315644223192276,139.34201033235485,5.93,30,Adelaide,517.8
-30.5,150.0,-30.3324,149.781,1.0,1,Sydney,415.7
-30.5,151.5,-30.499632584269666,151.66234831460676,6.16,89,Brisbane,362.2
-30.5,152.0,-30.569000000000003,151.80599999999998,5.5,2,Brisbane,364.6
-30.5,152.5,-30.44745,152.6255,6.0,2,Brisbane,333.4
-30.5,153.0,-30.49346020137138,153.03376153676,4.2,10,Brisbane,336.2
-30.0,121.0,-29.9831524,121.0432929,6.0,1,Perth,540.3
-30.0,151.5,-30.021300000000004,151.653,5.8,5,Brisbane,313.8
-30.0,153.0,-30.120335075,153.11379605,5.17,12,Brisbane,294.8
-29.5,116.0,-29.6892,115.891,4.0,2,Perth,251.4
-29.5,120.5,-29.460335976395086,120.61813951367915,6.0,1,Perth,532.4
-29.5,138.0,-29.63880519455558,138.09309258976745,6.0,1,Adelaide,590.3
-29.5,148.0,-29.451275000000003,147.97575,4.75,4,Brisbane,540.9
-29.5,150.0,-29.4527,149.8305,6.5,2,Brisbane,382.6
-29.5,151.0,-29.6549,150.833,5.0,1,Brisbane,324.1
-29.5,151.5,-29.6604,151.454,3.0,1,Brisbane,288.1
-29.5,152.0,-29.314,151.916,5.0,1,Brisbane,232.2
-29.5,153.0,-29.62675,153.00425,4.0,4,Brisbane,239.8
-29.0,135.0,-29.01414054594464,134.75558131230466,6.0,1,Adelaide,751.0
-29.0,150.0,-29.1832,149.801,7.0,1,Brisbane,369.0
-29.0,151.0,-28.8496,151.172,6.0,1,Brisbane,238.1
-29.0,151.5,-29.064,151.671,5.0,1,Brisbane,221.6
-29.0,152.0,-28.95126666666667,151.94366666666667,5.0,3,Brisbane,196.1
-29.0,153.0,-28.8278,153.209,6.0,1,Brisbane,152.0
-29.0,153.5,-28.869807737803914,153.40869700078952,4.38,13,Brisbane,160.0
-28.5,145.0,-28.6015,144.916,7.0,1,Brisbane,806.1
-28.5,150.5,-28.536,150.292,7.0,2,Brisbane,293.8
-28.5,152.0,-28.60605,151.9615,5.17,6,Brisbane,164.2
-28.5,153.5,-28.436988888888887,153.44377777777777,4.89,9,Brisbane,114.9
-28.0,119.5,-27.939431,119.63213,6.0,1,Perth,575.2
-28.0,148.5,-28.047299999999996,148.59799999999998,6.33,3,Brisbane,440.8
-28.0,150.0,-28.2198,149.926,6.0,1,Brisbane,316.4
-28.0,152.0,-28.1116625,152.046625,4.5,8,Brisbane,120.2
-28.0,152.5,-28.0029,152.688,4.0,1,Brisbane,68.1
-28.0,153.0,-27.8677,153.09982608695654,4.74,23,Brisbane,44.8
-28.0,153.5,-28.055967272727273,153.39958181818184,3.82,55,Brisbane,74.6
-27.5,152.0,-27.56290588235294,151.95135294117645,4.53,17,Brisbane,106.9
-27.5,152.5,-27.589467557142857,152.46729455714285,4.57,7,Brisbane,57.1
-27.5,153.0,-27.487634645288697,153.04261683882424,3.36,378,Brisbane,2.3
-27.5,153.5,-27.559372222222223,153.29955555555554,3.22,18,Brisbane,28.4
-27.0,119.0,-26.9401,118.956,5.0,3,Perth,632.5
-27.0,119.5,-26.827324727680505,119.41032414065374,4.0,1,Perth,665.3
-27.0,132.5,-27.0073,132.711,7.0,1,Adelaide,1044.1
-27.0,149.0,-27.1516,149.066,4.0,1,Brisbane,393.2
-27.0,151.0,-27.15175,150.989,6.5,2,Brisbane,204.7
-27.0,151.5,-26.88104705882353,151.60558823529414,6.24,17,Brisbane,155.4
-27.0,152.0,-26.7502875,152.241,6.25,8,Brisbane,111.8
-27.0,152.5,-26.900144630598625,152.62188814467893,5.0,7,Brisbane,75.1
-27.0,153.0,-26.888888742074506,152.94548384341863,4.58,220,Brisbane,65.2
-26.5,146.0,-26.40725,146.237,5.5,2,Brisbane,683.6
-26.5,146.5,-26.39648725,146.26517185,5.5,4,Brisbane,681.1
-26.5,149.0,-26.5763,148.785,2.67,3,Brisbane,432.0
-26.5,149.5,-26.6148,149.386,5.0,1,Brisbane,373.2
-26.5,151.5,-26.37475,151.3025,3.5,2,Brisbane,210.2
-26.5,152.0,-26.591890857142857,151.93435102857143,5.0,7,Brisbane,146.0
-26.5,152.5,-26.624050929801534,152.70295478307037,5.9,63,Brisbane,99.5
-26.5,153.0,-26.643615434142806,152.9808287418908,4.71,332,Brisbane,92.0
-26.0,113.5,-25.7936,113.719,6.0,1,Perth,715.5
-26.0,127.5,-26.0767,127.722,4.0,1,Perth,1324.3
-26.0,131.0,-26.1509,131.147,6.0,1,Adelaide,1208.4
-26.0,150.0,-25.9507,149.918,6.0,1,Brisbane,352.2
-26.0,152.5,-26.18736,152.6628,4.3,10,Brisbane,147.2
-26.0,153.0,-25.92103333333333,153.004,5.67,3,Brisbane,172.3
-26.0,153.5,-25.810029910129906,153.54496746889362,6.0,1,Brisbane,191.5
-25.5,134.0,-25.274399600000002,133.7750272,4.0,5,Adelaide,1169.2
-25.5,135.5,-25.3806589,135.4414323,6.0,1,Adelaide,1104.2
-25.5,152.5,-25.44788,152.71460000000002,4.8,5,Brisbane,227.0
-25.5,153.0,-25.332172222222223,152.84922222222224,4.11,18,Brisbane,238.4
-25.0,128.5,-25.0429843,128.303254,6.0,1,Darwin,1424.3
-25.0,132.5,-25.129900000000003,132.57,6.0,3,Adelaide,1234.0
-25.0,150.0,-25.06833495,150.0249647,3.5,2,Brisbane,401.3
-25.0,152.0,-25.004942857142858,152.09385714285713,5.14,7,Brisbane,289.6
-25.0,152.5,-24.90284705882353,152.4180588235294,4.06,17,Brisbane,291.9
-24.5,115.0,-24.662673573596333,115.1765381856639,6.0,1,Perth,813.1
-24.5,133.0,-24.5724375,133.1463125,6.0,1,Adelaide,1265.7
-24.5,133.5,-24.3299007,133.6303271,6.0,1,Adelaide,1272.3
-24.5,139.5,-24.3589,139.472,7.0,1,Adelaide,1178.5
-24.5,150.0,-24.5786,149.97,4.0,1,Brisbane,443.6
-24.5,150.5,-24.39215,150.5205,4.5,2,Brisbane,424.4
-24.5,151.5,-24.323813610724073,151.30683128520053,3.5,2,Brisbane,390.0
-24.5,152.5,-24.7403,152.258,6.0,2,Brisbane,313.2
-24.0,132.5,-24.073050000000002,132.2695,6.0,2,Darwin,1300.1
-24.0,151.0,-23.928314285714286,151.21871428571427,4.43,7,Brisbane,433.6
-24.0,151.5,-24.0344875,151.368875,4.25,8,Brisbane,416.6
-24.0,152.0,-24.216728571428572,151.88757142857142,5.0,7,Brisbane,379.4
-24.0,152.5,-24.11291485,152.71450925,6.25,4,Brisbane,374.6
-23.5,119.5,-23.3494,119.733,4.0,1,Perth,1029.4
-23.5,133.5,-23.7220649,133.4697823,6.0,1,Darwin,1282.6
-23.5,134.0,-23.697757,133.88845785,4.0,6,Darwin,1290.3
-23.5,134.5,-23.593379,134.4933558,6.0,1,Darwin,1296.6
-23.5,147.5,-23.41,147.71075,5.75,4,Brisbane,699.2
-23.5,148.0,-23.536,148.15666666666667,4.0,3,Brisbane,656.0
-23.5,148.5,-23.5648,148.3,5.0,1,Brisbane,643.2
-23.5,150.5,-23.336100000000002,150.511875,4.12,8,Brisbane,524.6
-23.5,151.0,-23.330675,150.8175,4.25,4,Brisbane,511.1
-23.0,117.5,-23.19995,117.662,4.0,2,Perth,989.0
-23.0,148.5,-22.8114,148.6905,4.5,2,Brisbane,677.5
-23.0,150.5,-23.1324,150.736,5.0,1,Brisbane,534.6
-23.0,151.0,-23.20296,150.77779999999998,3.4,5,Brisbane,525.7
-22.5,132.0,-22.2579,131.793,6.0,1,Darwin,1094.1
-22.5,137.5,-22.4296121603371,137.43797821097706,6.0,1,Darwin,1310.4
-22.5,141.5,-22.3527928,141.5497754,6.0,1,Brisbane,1289.2
-22.5,143.0,-22.38940425280408,143.04649654758143,4.87,30,Brisbane,1153.7
-22.5,147.5,-22.7178,147.682,3.0,1,Brisbane,754.3
-22.5,148.5,-22.5838,148.347,5.0,1,Brisbane,719.4
-22.0,148.0,-22.008,148.067,4.0,1,Brisbane,787.2
-21.5,116.5,-21.6343,116.349,4.0,1,Perth,1148.1
-21.5,149.5,-21.3705,149.317,5.0,1,Brisbane,775.3
-21.0,117.0,-20.752,116.802,3.0,1,Perth,1248.7
-21.0,142.5,-20.9176,142.703,7.0,1,Brisbane,1275.0
-21.0,149.0,-21.154,149.192,1.0,1,Brisbane,802.6
-20.5,117.0,-20.7457,116.81,5.0,1,Perth,1249.4
-20.5,118.5,-20.3341,118.673,3.0,1,Perth,1321.6
-20.5,130.0,-20.2712,129.99,6.0,1,Darwin,873.3
-20.5,139.5,-20.691577777777777,139.51444444444442,4.11,9,Darwin,1300.2
-20.5,148.5,-20.4009,148.573,4.0,1,Brisbane,907.0
-20.0,148.0,-20.0299,148.216,4.0,1,Brisbane,961.2
-20.0,148.5,-19.9792,148.26,2.0,1,Brisbane,963.9
-19.5,134.0,-19.6484,134.19,4.0,2,Darwin,875.7
-19.5,146.5,-19.3973,146.7175,3.0,2,Brisbane,1104.3
-19.5,147.0,-19.2666,146.799,4.0,1,Brisbane,1111.5
-19.0,143.5,-18.79559006543717,143.4226838128114,6.0,1,Brisbane,1375.6
-19.0,146.5,-19.2015,146.59466666666665,4.33,3,Brisbane,1129.5
-18.5,122.0,-18.7211,121.88,7.0,1,Darwin,1185.1
-18.5,146.0,-18.6486,146.171,4.0,1,Brisbane,1205.4
-18.5,146.5,-18.7001,146.296,6.0,1,Brisbane,1193.3
-18.0,144.5,-18.147742,144.3167,6.0,1,Brisbane,1367.2
-17.5,145.5,-17.28285,145.5455,4.25,4,Brisbane,1368.5
-17.0,145.5,-16.9027,145.6639,3.85,20,Brisbane,1397.6
-17.0,146.0,-16.91797146332938,145.7766831762152,4.75,4,Brisbane,1389.9
-16.0,129.0,-15.7868,128.752,4.0,1,Darwin,433.0
-16.0,136.5,-16.0616,136.302,4.0,2,Darwin,711.8
-15.5,128.0,-15.4858,128.115,7.0,1,Darwin,446.8
-15.5,128.5,-15.7227,128.735,5.0,1,Darwin,428.0
-15.5,129.0,-15.6049,128.765,2.0,1,Darwin,415.2
-15.5,130.5,-15.6432,130.467,7.0,1,Darwin,356.2
-15.5,145.0,-15.4848,145.24733333333333,5.67,3,Brisbane,1555.9
-12.5,131.0,-12.393074468085107,130.8778085106383,3.26,47,Darwin,8.5
-12.5,133.0,-12.6771,132.837,4.0,1,Darwin,218.1
-12.5,135.0,-12.3856,135.0,5.0,1,Darwin,451.8
-10.5,142.0,-10.5859,142.215,5.0,1,Darwin,1256.6
